origin,season,color_name,size,application,bag_type,fabric,finishing,fit,foulard_type,outside_type,print,style,top_type,weather,nivel,dress/jumpsuit,grupo
OWN_PRODUCTION,9,blue_dark,XXL,night,,shimmer,shiny,loose,,,smooth,night,tops,warm_season,2,False,
OWN_PRODUCTION,9,blue_dark,XXXL,night,,shimmer,shiny,loose,,,smooth,night,tops,warm_season,2,False,
OWN_PRODUCTION,9,ecru,L,night,,shimmer,shiny,loose,,,smooth,night,tops,warm_season,2,False,
OWN_PRODUCTION,9,ecru,X4XL,night,,shimmer,shiny,loose,,,smooth,night,tops,warm_season,2,False,
OWN_PRODUCTION,9,ecru,XL,night,,shimmer,shiny,loose,,,smooth,night,tops,warm_season,2,False,
OWN_PRODUCTION,9,ecru,XXL,night,,shimmer,shiny,loose,,,smooth,night,tops,warm_season,2,False,
OWN_PRODUCTION,9,ecru,XXXL,night,,shimmer,shiny,loose,,,smooth,night,tops,warm_season,2,False,
MAINSTREAM,8,black,L,night,,chiffon,shiny,straight,,,smooth,night,tops,cold_season,2,False,
MAINSTREAM,8,black,M,night,,chiffon,shiny,straight,,,smooth,night,tops,cold_season,2,False,
MAINSTREAM,8,black,S,night,,chiffon,shiny,straight,,,smooth,night,tops,cold_season,2,False,
MAINSTREAM,8,black,XL,night,,chiffon,shiny,straight,,,smooth,night,tops,cold_season,2,False,
MAINSTREAM,8,black,XS,night,,chiffon,shiny,straight,,,smooth,night,tops,cold_season,2,False,
MAINSTREAM,8,black,XXL,night,,chiffon,shiny,straight,,,smooth,night,tops,cold_season,2,False,
MAINSTREAM,8,black,XXXL,night,,chiffon,shiny,straight,,,smooth,night,tops,cold_season,2,False,
NO_MAINSTREAM,8,black,L,special_occasion,,knit,,loose,,,smooth,night,tops,cold_season,2,False,
NO_MAINSTREAM,8,black,M,special_occasion,,knit,,loose,,,smooth,night,tops,cold_season,2,False,
NO_MAINSTREAM,8,black,XL,special_occasion,,knit,,loose,,,smooth,night,tops,cold_season,2,False,
NO_MAINSTREAM,8,black,XXL,special_occasion,,knit,,loose,,,smooth,night,tops,cold_season,2,False,
NO_MAINSTREAM,8,black,XXXL,special_occasion,,knit,,loose,,,smooth,night,tops,cold_season,2,False,
WHOLE_SALE,8,beige,L,freetime,,synthetic,,straight,,,animal_print,boho,tops,cold_season,2,False,
WHOLE_SALE,8,beige,M,freetime,,synthetic,,straight,,,animal_print,boho,tops,cold_season,2,False,
WHOLE_SALE,8,beige,S,freetime,,synthetic,,straight,,,animal_print,boho,tops,cold_season,2,False,
WHOLE_SALE,8,black,L,freetime,,lace,,straight,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,8,black,M,freetime,,lace,,straight,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,8,black,S,freetime,,lace,,straight,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,8,black,L,freetime,,crepe,,loose,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,8,black,M,freetime,,crepe,,loose,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,8,black,S,freetime,,crepe,,loose,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,8,red,L,freetime,,crepe,,loose,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,8,red,M,freetime,,crepe,,loose,,,smooth,boho,tops,warm_season,2,False,
WHOLE_SALE,8,red,S,freetime,,crepe,,loose,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,black,L,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,black,M,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
NO_MAINSTREAM,9,black,S,freetime,,artificial,,straight,,,smooth,boho,tops,warm_season,2,False,
